,text,label
35,aggravated identity felony theft,identity theft
36,aggravated identity theft,identity theft
37,aggravated identity theft aiding and abetting,identity theft
38,aggravated identity theft aiding and abetting and causing an act to be done,identity theft
39,aggravated identity theft causing an act to be done,identity theft
40,aggravated or felonious,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
41,aggravated sexual assault child,sex offense with a child
42,aggravated trespass,trespassing; remain in area closed to public
43,aggravated trespassing,trespassing; remain in area closed to public
44,aggressive solicitation causing fear intimidation,threats to injure; terroristic threats; intimidation
45,aid abet import of marijuana,criminal mischief; criminal conspiracy
46,aid abet poss of int to distr,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
47,aid abet possession of methamphetamine with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
48,aid and assist in the preparation of false return aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
49,aiding abetting fraud relating to account access devices,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
50,aiding abetting mail fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
51,aiding abetting possession of controlled substance base intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
52,aiding abetting wire fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
53,aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
54,aiding and abetting an illegal entry misdemeanor,kidnapping; unlawfully transport a person; false imprisonment
55,aiding and abetting armed bank robbery,robbery with or without a weapon
56,aiding and abetting bank robbery,robbery with or without a weapon
57,aiding and abetting false stmts,"give false information (court, law officer)"
58,aiding and abetting illegal entry into the united states misdemeanor,kidnapping; unlawfully transport a person; false imprisonment
59,aiding and abetting money laundering,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
60,aiding and abetting possession of heroin with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
61,aiding and abetting possession of methamphetamine with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
62,aiding and abetting the committing of bank robbery,robbery with or without a weapon
63,aiding and abetting the effecting of unauthorized transactions with the access device of another,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
64,aiding and abetting the laundering of monetary instruments,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
65,aiding and abetting the manufacture of methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
66,aiding and abetting transportation of illegal aliens felony,kidnapping; unlawfully transport a person; false imprisonment
67,aiding and abetting unlawful exportation of defense articles,weapon crime
68,aiding and assisting escape from custody,escape; prison breach
69,aiding and assisting in preparation of false income tax return,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
70,aiding and assisting in the preparation of fals income tax returns,"give false information (court, law officer)"
71,aiding and assisting in the preparation of false income tax returns,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
72,aiding and assisting in the preparation of false tax return,"give false information (court, law officer)"
73,aiding and assisting in the preparation of false tax returns,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
74,aiding and assisting the preparation or presentation of false tax returns,"give false information (court, law officer)"
75,aiding or assisting certain aliens to enter aiding and abetting criminal forfeiture,kidnapping; unlawfully transport a person; false imprisonment
76,aiding or assisting certain aliens to enter the united states,kidnapping; unlawfully transport a person; false imprisonment
77,aiding or assisting in the preparation of false tax return causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
78,aiding or assisting preparation of false return,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
79,al conspiracy to commit mail fraud and bank fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
80,al conspiracy to commit securities fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
81,al conspiracy to commit wire fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
82,al conspiracy to possess with intent to manufacture marijuana,criminal mischief; criminal conspiracy
83,alcohol bev in park,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
84,alcohol beverage in park,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
85,alcohol comsumption by minor,minor possessing alcohol; sell/give alcohol to a minor
86,alcohol in park,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
87,alcohol posses or consume in public place,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
88,alcohol related case,violate controlled/dangerous substance act; drug abuse
89,alien entering or attempting to enter the us by knowingly eluding examination and inspection by immigration officers,kidnapping; unlawfully transport a person; false imprisonment
90,alien harboring and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
91,alien in possession of ammunition felon in possession of ammunition forfeiture,possession of firearm
92,alien in possession of firearm,possession of firearm
93,alien in possession of firearms,possession of firearm
94,alien smuggling aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
95,alien unlawfully in the united states in possession of firearm,possession of firearm
96,alien who was apprehended in the northern district of california after knowingly and unlawfully entering the united states by eluding examination and inspe see docket,kidnapping; unlawfully transport a person; false imprisonment
97,alleged of pretrial release,contempt of court; fail to obey a court order
98,alleged of supervised release,contempt of court; fail to obey a court order
99,allow fail to attend school,contribute to the delinquency of a minor
100,allow or cause injury to elder dependent adult eff,assault and/or battery
101,allow unlic to oper veh,possessing no drivers license; expired drivers license; allowing unlicensed driver to operate vehicle
102,allow unlicensed driver to operate vehicle,possessing no drivers license; expired drivers license; allowing unlicensed driver to operate vehicle
103,allowing unlicensed driver to drive motor vehicle,possessing no drivers license; expired drivers license; allowing unlicensed driver to operate vehicle
104,alter change replica firearm,weapon crime
105,alter etc medical record with fraudulent intent,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
106,alter forge falsify driver license identification,forgery; possession of forged documents; conspiracy to forge
107,alter forge falsify drivers license identification,forgery; possession of forged documents; conspiracy to forge
108,alter forge falsify drvr lic misde,forgery; possession of forged documents; conspiracy to forge
109,alter forge veh registration,forgery; possession of forged documents; conspiracy to forge
110,alter forge vehicle registration,forgery; possession of forged documents; conspiracy to forge
111,alter tamper with serial number on firearm,weapon crime
112,alteration of imitation firearm,weapon crime
113,amplified music in manner which will disturb the peace and quiet of any neighborhood or person,disturb the peace; fighting in public; loud noise; breach of peace
114,and abusive sexual contact,rape; sexual abuse; sexual assault; incest
115,and adulteration of drug held for sale,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
116,and aggravated identity theft,identity theft
117,and aggravated identity theft aiding and abetting criminal forfeiture,identity theft
118,and aiding abetting wrongful possession of listed chemical,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
119,and aiding and abetting bank robbery,robbery with or without a weapon
120,and aiding and abetting conspiracy import and distribute controlled substance,criminal mischief; criminal conspiracy
121,and aiding and abetting conspiracy to import and distribute controlled substance,criminal mischief; criminal conspiracy
122,and aiding and abetting entry by false pretense to real property of the united states,breaking and entering; store breaking; house breaking; unlawful entry; residential entry; illegal entry; enter closed area; unauthorized entry (or attempts)
123,and aiding and abetting false entries in fmha records,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
124,and aiding and abetting felon in possession of firearms,weapon crime
125,and aiding and abetting illegal entry misdemeanor,kidnapping; unlawfully transport a person; false imprisonment
126,and aiding and abetting importation of controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
127,and aiding and abetting importation of marijuana,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
128,and aiding and abetting mispplication of fmha funds,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
129,and aiding and abetting money laundering,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
130,and aiding and abetting obstruction of justice,obstruct and hinder court proceedings
131,and aiding and abetting possession of marijuana intent to distribute marihuana sell distribute or dispense,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
132,and aiding and abetting possession of marijuana with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
133,and aiding and abetting possession with intent to distribute kilograms or more but less than kilograms of marijuana,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
134,and aiding and abetting structuring transactions to evade reporting requirements,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
135,and aiding and abetting the making and delivering of false certificate,"give false information (court, law officer)"
136,and aiding and abetting the possession with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
137,and aiding and abetting transporation of illegal aliens,kidnapping; unlawfully transport a person; false imprisonment
138,and alien in possession of firearms and ammunition and aiding and abetting,possession of firearm
139,and alien smuggling,kidnapping; unlawfully transport a person; false imprisonment
140,and alien unlawfully in the united states in possession of firearm,possession of firearm
141,and alien unlawfully in the us in possession of firearm,possession of firearm
142,and and aggravated identity theft and aiding and abetting,identity theft
143,and and and and conspiracy to manufacture controlled substan see docket,criminal mischief; criminal conspiracy
144,and and and and interference with commerce by threats violence and robbery and aid see docket,threats to injure; terroristic threats; intimidation
145,and and and and money laundering,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
146,and and and conspiracy to distribute and possess with intent to distribute controlled substances,criminal mischief; criminal conspiracy
147,and and and conspiracy to launder money concealment and international promot see docket,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
148,and and and conspiracy to manufacture distribute and possession with the intent to distribute marijuana and aiding and abetting,criminal mischief; criminal conspiracy
149,and and and conspiracy to possess controlled substance on board vessel criminal forfeiture,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
150,and and and conspiracy to possess with intent to distribute and distribution of controlled see docket,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
151,and and and possession of methylenedioxymethamphetamine mdma,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
152,and and armed bank robbery,robbery with or without a weapon
153,and and attempted distribution of methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
154,and and bring in transport and harbor illegal aliens criminal forfeiture,kidnapping; unlawfully transport a person; false imprisonment
155,and and bulk cash smuggling aiding and abetting criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
156,and and bulk cash smuggling criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
157,and and cfr and export of defense articles without license felony aidin see docket,weapon crime
158,and and conpiracy to distribute and to possess with intent to distribute methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
159,and and conspiracy criminal forfeiture,criminal mischief; criminal conspiracy
160,and and conspiracy to bring in aliens,criminal mischief; criminal conspiracy
161,and and conspiracy to bring in illegal aliens conspiracy to transport illegal aliens,criminal mischief; criminal conspiracy
162,and and conspiracy to commit armed bank robbery,robbery with or without a weapon
163,and and conspiracy to commit mail fraud and wire fraud criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
164,and and conspiracy to commit money laundering and money laundering criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
165,and and conspiracy to distribute and possess with intent to distribute grams and more methamphetamine heroin controlled substance base controlled substance,criminal mischief; criminal conspiracy
166,and and conspiracy to distribute and possess with intent to distribute heroin and methamphetamine,criminal mischief; criminal conspiracy
167,and and conspiracy to distribute controlled substance criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
168,and and conspiracy to distribute controlled substances and criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
169,and and conspiracy to distribute controlled substances money laundering use of communication device to facilitate drug and trafficking offense,criminal mischief; criminal conspiracy
170,and and conspiracy to distribute marijuana conspiracy to launder money,criminal mischief; criminal conspiracy
171,and and conspiracy to distribute methamphetamine,criminal mischief; criminal conspiracy
172,and and conspiracy to distribute methamphetamine and controlled substance criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
173,and and conspiracy to distribute methamphetamine and criminal forfeiture,criminal mischief; criminal conspiracy
174,and and conspiracy to distribute methamphetamine criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
175,and and conspiracy to distribute methamphetamine distribution of methamphetamine aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
176,and and conspiracy to import controlled substance and criminal forfeiture,criminal mischief; criminal conspiracy
177,and and conspiracy to launder controlled substance proceeds,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
178,and and conspiracy to launder monetary instuments criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
179,and and conspiracy to launder money criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
180,and and conspiracy to manfacture distribute and possess with the intent to distribute marijuana and aiding and abetting,criminal mischief; criminal conspiracy
181,and and conspiracy to manufacture and distribute marijuana criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
182,and and conspiracy to manufacture controlled substance and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
183,and and conspiracy to manufacture distribute and possess with intent to distribute methamphetamine and aiding and abetting,criminal mischief; criminal conspiracy
184,and and conspiracy to manufacture distribute and possess with the intent to distribute controlled substance and aiding and abetting,criminal mischief; criminal conspiracy
185,and and conspiracy to misbrand and adulterate drugs in interstate commerce with intent to defraud,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
186,and and conspiracy to possess methamphetamine manufacturing distributing dispensing see docket,criminal mischief; criminal conspiracy
187,and and conspiracy to possess with intent to distribute and to distribute more than grams of methamphetamine,criminal mischief; criminal conspiracy
188,and and conspiracy to possess with intent to distribute five grams or more pure methamphetamine,criminal mischief; criminal conspiracy
189,and and conspiracy to possess with intent to distribute marijuana money laundering conspiracy,criminal mischief; criminal conspiracy
190,and and conspiracy to rob banks and credit unions,criminal mischief; criminal conspiracy
191,and and conspiracy to transport certain aliens for financial gain criminal forfeiture,criminal mischief; criminal conspiracy
192,and and conspiring to possess with intent to distribute and to distribute kilograms of controlled substance kil see docket,criminal mischief; criminal conspiracy
193,and and controlled substance trafficking,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
194,and and criminal copyright infringement and aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
195,and and criminal copyright infringement for private financial gain and aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
196,and and distribution and possession with intent to distribute methamphetamine aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
197,and and distribution of controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
198,and and distribution of methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
199,and and distribution of methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
200,and and distribution of methamphetamine and aiding and abetting criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
201,and and distribution possession with intent to distribute grams or more of actual methamphetamine possession see docket,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
202,and and driving with blood alcohol concentration at or in excess of,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
203,and and false statement to federally insured financial institution aiding and abetting crim see docket,"give false information (court, law officer)"
204,and and felon in possession of ammunition criminal forfeiture,possession of firearm
205,and and felon in possession of firearm ammunition felony criminal forfeiture,possession of firearm
206,and and felon in possession of firearm criminal forfeiture,possession of firearm
207,and and harboring illegal aliens criminal forfeiture,kidnapping; unlawfully transport a person; false imprisonment
208,and and importation of controlled substance and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
209,and and importation of marijuana aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
210,and and importation of marijuana and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
211,and and importation of methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
212,and and knowingly and willfully conducting financial transactions affecting interstate commerce involving proceeds from the manufactur see docket,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
213,and and knowingly willfully and unlawfully combine conspire confederate and agree together to distribute mixture and see docket,criminal mischief; criminal conspiracy
214,and and mail fraud aiding and abetting criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
215,and and mail theft,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
216,and and manufacture and possession with intent to distribute methamphetamine aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
217,and and manufacturing marijuana and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
218,and and money laundering aiding and abetting criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
219,and and money laundering criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
220,and and posession with intent to distribute and distribution of methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
221,and and possession of an unregistered sawed off shotgun felony criminal forfeiture,possession of firearm
222,and and possession of methamphetamine with intent to distribute and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
223,and and possession with intent to distribute and distribution of methamphetamine and controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
224,and and possession with intent to distribute controlled substance and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
225,and and possession with intent to distribute methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
226,and and possession with the intent to distribute marijuana and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
227,and and structuring financial transactions aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
228,and and wire fraud aiding and abetting criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
229,and anti kickback act,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
230,and armed bank robbery,robbery with or without a weapon
231,and armed bank robbery aiding and abetting,robbery with or without a weapon
232,and assault,assault and/or battery
233,and assault on federal officer with deadly or dangerous weapon,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
234,and assault with dangerous weapon in aid of racketeering and attempted murder in aid of racketeering,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
235,and assault with dangerous weapon in aid of racketeering of victim,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
236,and assault with dangerous weapon on federal employee,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
237,and assault with dangerous weapon within special maritime and territorial jurisdiction and aiding and abetting,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
238,and attempt to possess with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
239,and attempted distribution of child pornography,sex offense with a child
240,and attempted murder in aid of racketeering of victim,murder; maiming; manslaughter; attempted murder; attempted maiming; attempted manslaughter
241,and attempted possession with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
242,and attempted robbery affecting interstate commerce,robbery with or without a weapon
243,and attempted transportation of aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
244,and attempted transportation of certain aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
245,and attempted transportation of illegal aliens and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
246,and attempted transportation of illegal aliens and aiding and abetting felony,kidnapping; unlawfully transport a person; false imprisonment
247,and attempted transportation of illegal aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
248,and bank fraud and aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
249,and bank larceny and aiding and abetting,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
250,and bankruptcy fraud causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
251,and bringing in an illegal alien,kidnapping; unlawfully transport a person; false imprisonment
252,and bringing in an illegal alien without presentation and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
253,and bringing in illegal aliens and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
254,and bringing in illegal aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
255,and bringing in illegal aliens without presentation aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
256,and bringing in illegal aliens without presentation and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
257,and bulk cash smuggling,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
