text,label
adw not firearm on po firefighter gbi likely,assault and/or battery
adw not firearm on police firefighter gbi likely,assault and/or battery
adw on po fire,assault and/or battery
adw other than firearm or gbi,assault and/or battery
after curfew in city park,trespassing; remain in area closed to public
agg sexual aslt minor force felony amended to lewd act child under felony,lewd behavior; sex offense; offensive touching
aggravate identity theft causing an act to be done,identity theft
aggravated battery,assault and/or battery
aggravated identification theft,identity theft
aggravated identify theft,identity theft
aggravated identity felony theft,identity theft
aggravated identity theft,identity theft
aggravated identity theft aiding and abetting,identity theft
aggravated identity theft aiding and abetting and causing an act to be done,identity theft
aggravated identity theft causing an act to be done,identity theft
aggravated or felonious,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
aggravated sexual assault child,sex offense with a child
aggravated trespass,trespassing; remain in area closed to public
aggravated trespassing,trespassing; remain in area closed to public
aggressive solicitation causing fear intimidation,threats to injure; terroristic threats; intimidation
aid abet import of marijuana,criminal mischief; criminal conspiracy
aid abet poss of int to distr,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
aid abet possession of methamphetamine with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
aid and assist in the preparation of false return aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding abetting fraud relating to account access devices,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding abetting mail fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding abetting possession of controlled substance base intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
aiding abetting wire fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
aiding and abetting an illegal entry misdemeanor,kidnapping; unlawfully transport a person; false imprisonment
aiding and abetting armed bank robbery,robbery with or without a weapon
aiding and abetting bank robbery,robbery with or without a weapon
aiding and abetting false stmts,"give false information (court, law officer)"
aiding and abetting illegal entry into the united states misdemeanor,kidnapping; unlawfully transport a person; false imprisonment
aiding and abetting money laundering,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding and abetting possession of heroin with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
aiding and abetting possession of methamphetamine with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
aiding and abetting the committing of bank robbery,robbery with or without a weapon
aiding and abetting the effecting of unauthorized transactions with the access device of another,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding and abetting the laundering of monetary instruments,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding and abetting the manufacture of methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
aiding and abetting transportation of illegal aliens felony,kidnapping; unlawfully transport a person; false imprisonment
aiding and abetting unlawful exportation of defense articles,weapon crime
aiding and assisting escape from custody,escape; prison breach
aiding and assisting in preparation of false income tax return,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding and assisting in the preparation of fals income tax returns,"give false information (court, law officer)"
aiding and assisting in the preparation of false income tax returns,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding and assisting in the preparation of false tax return,"give false information (court, law officer)"
aiding and assisting in the preparation of false tax returns,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding and assisting the preparation or presentation of false tax returns,"give false information (court, law officer)"
aiding or assisting certain aliens to enter aiding and abetting criminal forfeiture,kidnapping; unlawfully transport a person; false imprisonment
aiding or assisting certain aliens to enter the united states,kidnapping; unlawfully transport a person; false imprisonment
aiding or assisting in the preparation of false tax return causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
aiding or assisting preparation of false return,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
al conspiracy to commit mail fraud and bank fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
al conspiracy to commit securities fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
al conspiracy to commit wire fraud,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
al conspiracy to possess with intent to manufacture marijuana,criminal mischief; criminal conspiracy
alcohol bev in park,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
alcohol beverage in park,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
alcohol comsumption by minor,minor possessing alcohol; sell/give alcohol to a minor
alcohol in park,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
alcohol posses or consume in public place,illegally possess alcohol; possess alcohol in an unauthorized area; alcohol violation
alcohol related case,violate controlled/dangerous substance act; drug abuse
alien entering or attempting to enter the us by knowingly eluding examination and inspection by immigration officers,kidnapping; unlawfully transport a person; false imprisonment
alien harboring and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
alien in possession of ammunition felon in possession of ammunition forfeiture,possession of firearm
alien in possession of firearm,possession of firearm
alien in possession of firearms,possession of firearm
alien smuggling aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
alien unlawfully in the united states in possession of firearm,possession of firearm
alien who was apprehended in the northern district of california after knowingly and unlawfully entering the united states by eluding examination and inspe see docket,kidnapping; unlawfully transport a person; false imprisonment
alleged of pretrial release,contempt of court; fail to obey a court order
alleged of supervised release,contempt of court; fail to obey a court order
allow fail to attend school,contribute to the delinquency of a minor
allow or cause injury to elder dependent adult eff,assault and/or battery
allow unlic to oper veh,possessing no drivers license; expired drivers license; allowing unlicensed driver to operate vehicle
allow unlicensed driver to operate vehicle,possessing no drivers license; expired drivers license; allowing unlicensed driver to operate vehicle
allowing unlicensed driver to drive motor vehicle,possessing no drivers license; expired drivers license; allowing unlicensed driver to operate vehicle
alter change replica firearm,weapon crime
alter etc medical record with fraudulent intent,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
alter forge falsify driver license identification,forgery; possession of forged documents; conspiracy to forge
alter forge falsify drivers license identification,forgery; possession of forged documents; conspiracy to forge
alter forge falsify drvr lic misde,forgery; possession of forged documents; conspiracy to forge
alter forge veh registration,forgery; possession of forged documents; conspiracy to forge
alter forge vehicle registration,forgery; possession of forged documents; conspiracy to forge
alter tamper with serial number on firearm,weapon crime
alteration of imitation firearm,weapon crime
amplified music in manner which will disturb the peace and quiet of any neighborhood or person,disturb the peace; fighting in public; loud noise; breach of peace
and abusive sexual contact,rape; sexual abuse; sexual assault; incest
and adulteration of drug held for sale,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and aggravated identity theft,identity theft
and aggravated identity theft aiding and abetting criminal forfeiture,identity theft
and aiding abetting wrongful possession of listed chemical,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and aiding and abetting bank robbery,robbery with or without a weapon
and aiding and abetting conspiracy import and distribute controlled substance,criminal mischief; criminal conspiracy
and aiding and abetting conspiracy to import and distribute controlled substance,criminal mischief; criminal conspiracy
and aiding and abetting entry by false pretense to real property of the united states,breaking and entering; store breaking; house breaking; unlawful entry; residential entry; illegal entry; enter closed area; unauthorized entry (or attempts)
and aiding and abetting false entries in fmha records,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and aiding and abetting felon in possession of firearms,weapon crime
and aiding and abetting illegal entry misdemeanor,kidnapping; unlawfully transport a person; false imprisonment
and aiding and abetting importation of controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and aiding and abetting importation of marijuana,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and aiding and abetting mispplication of fmha funds,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and aiding and abetting money laundering,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and aiding and abetting obstruction of justice,obstruct and hinder court proceedings
and aiding and abetting possession of marijuana intent to distribute marihuana sell distribute or dispense,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and aiding and abetting possession of marijuana with intent to distribute,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and aiding and abetting possession with intent to distribute kilograms or more but less than kilograms of marijuana,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and aiding and abetting structuring transactions to evade reporting requirements,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and aiding and abetting the making and delivering of false certificate,"give false information (court, law officer)"
and aiding and abetting the possession with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and aiding and abetting transporation of illegal aliens,kidnapping; unlawfully transport a person; false imprisonment
and alien in possession of firearms and ammunition and aiding and abetting,possession of firearm
and alien smuggling,kidnapping; unlawfully transport a person; false imprisonment
and alien unlawfully in the united states in possession of firearm,possession of firearm
and alien unlawfully in the us in possession of firearm,possession of firearm
and and aggravated identity theft and aiding and abetting,identity theft
and and and and conspiracy to manufacture controlled substan see docket,criminal mischief; criminal conspiracy
and and and and interference with commerce by threats violence and robbery and aid see docket,threats to injure; terroristic threats; intimidation
and and and and money laundering,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and and conspiracy to distribute and possess with intent to distribute controlled substances,criminal mischief; criminal conspiracy
and and and conspiracy to launder money concealment and international promot see docket,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and and conspiracy to manufacture distribute and possession with the intent to distribute marijuana and aiding and abetting,criminal mischief; criminal conspiracy
and and and conspiracy to possess controlled substance on board vessel criminal forfeiture,possession of controlled/dangerous substance; attempted possession of controlled/dangerous substance.
and and and conspiracy to possess with intent to distribute and distribution of controlled see docket,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and and possession of methylenedioxymethamphetamine mdma,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and armed bank robbery,robbery with or without a weapon
and and attempted distribution of methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and bring in transport and harbor illegal aliens criminal forfeiture,kidnapping; unlawfully transport a person; false imprisonment
and and bulk cash smuggling aiding and abetting criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and bulk cash smuggling criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and cfr and export of defense articles without license felony aidin see docket,weapon crime
and and conpiracy to distribute and to possess with intent to distribute methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and conspiracy criminal forfeiture,criminal mischief; criminal conspiracy
and and conspiracy to bring in aliens,criminal mischief; criminal conspiracy
and and conspiracy to bring in illegal aliens conspiracy to transport illegal aliens,criminal mischief; criminal conspiracy
and and conspiracy to commit armed bank robbery,robbery with or without a weapon
and and conspiracy to commit mail fraud and wire fraud criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and conspiracy to commit money laundering and money laundering criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and conspiracy to distribute and possess with intent to distribute grams and more methamphetamine heroin controlled substance base controlled substance,criminal mischief; criminal conspiracy
and and conspiracy to distribute and possess with intent to distribute heroin and methamphetamine,criminal mischief; criminal conspiracy
and and conspiracy to distribute controlled substance criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and conspiracy to distribute controlled substances and criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and conspiracy to distribute controlled substances money laundering use of communication device to facilitate drug and trafficking offense,criminal mischief; criminal conspiracy
and and conspiracy to distribute marijuana conspiracy to launder money,criminal mischief; criminal conspiracy
and and conspiracy to distribute methamphetamine,criminal mischief; criminal conspiracy
and and conspiracy to distribute methamphetamine and controlled substance criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and conspiracy to distribute methamphetamine and criminal forfeiture,criminal mischief; criminal conspiracy
and and conspiracy to distribute methamphetamine criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and conspiracy to distribute methamphetamine distribution of methamphetamine aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and conspiracy to import controlled substance and criminal forfeiture,criminal mischief; criminal conspiracy
and and conspiracy to launder controlled substance proceeds,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and conspiracy to launder monetary instuments criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and conspiracy to launder money criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and conspiracy to manfacture distribute and possess with the intent to distribute marijuana and aiding and abetting,criminal mischief; criminal conspiracy
and and conspiracy to manufacture and distribute marijuana criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and conspiracy to manufacture controlled substance and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and conspiracy to manufacture distribute and possess with intent to distribute methamphetamine and aiding and abetting,criminal mischief; criminal conspiracy
and and conspiracy to manufacture distribute and possess with the intent to distribute controlled substance and aiding and abetting,criminal mischief; criminal conspiracy
and and conspiracy to misbrand and adulterate drugs in interstate commerce with intent to defraud,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and conspiracy to possess methamphetamine manufacturing distributing dispensing see docket,criminal mischief; criminal conspiracy
and and conspiracy to possess with intent to distribute and to distribute more than grams of methamphetamine,criminal mischief; criminal conspiracy
and and conspiracy to possess with intent to distribute five grams or more pure methamphetamine,criminal mischief; criminal conspiracy
and and conspiracy to possess with intent to distribute marijuana money laundering conspiracy,criminal mischief; criminal conspiracy
and and conspiracy to rob banks and credit unions,criminal mischief; criminal conspiracy
and and conspiracy to transport certain aliens for financial gain criminal forfeiture,criminal mischief; criminal conspiracy
and and conspiring to possess with intent to distribute and to distribute kilograms of controlled substance kil see docket,criminal mischief; criminal conspiracy
and and controlled substance trafficking,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and criminal copyright infringement and aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and criminal copyright infringement for private financial gain and aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and distribution and possession with intent to distribute methamphetamine aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and distribution of controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and distribution of methamphetamine,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and distribution of methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and distribution of methamphetamine and aiding and abetting criminal forfeiture,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and distribution possession with intent to distribute grams or more of actual methamphetamine possession see docket,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and driving with blood alcohol concentration at or in excess of,driving under the influence (dui); driving while intoxicated (dwi); operating under the influence (oui); operating/driving while impaired
and and false statement to federally insured financial institution aiding and abetting crim see docket,"give false information (court, law officer)"
and and felon in possession of ammunition criminal forfeiture,possession of firearm
and and felon in possession of firearm ammunition felony criminal forfeiture,possession of firearm
and and felon in possession of firearm criminal forfeiture,possession of firearm
and and harboring illegal aliens criminal forfeiture,kidnapping; unlawfully transport a person; false imprisonment
and and importation of controlled substance and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and importation of marijuana aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and importation of marijuana and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and importation of methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and knowingly and willfully conducting financial transactions affecting interstate commerce involving proceeds from the manufactur see docket,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and knowingly willfully and unlawfully combine conspire confederate and agree together to distribute mixture and see docket,criminal mischief; criminal conspiracy
and and mail fraud aiding and abetting criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and mail theft,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
and and manufacture and possession with intent to distribute methamphetamine aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and manufacturing marijuana and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and money laundering aiding and abetting criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and money laundering criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and posession with intent to distribute and distribution of methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and possession of an unregistered sawed off shotgun felony criminal forfeiture,possession of firearm
and and possession of methamphetamine with intent to distribute and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and possession with intent to distribute and distribution of methamphetamine and controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and possession with intent to distribute controlled substance and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and possession with intent to distribute methamphetamine and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and possession with the intent to distribute marijuana and aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and and structuring financial transactions aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and and wire fraud aiding and abetting criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and anti kickback act,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and armed bank robbery,robbery with or without a weapon
and armed bank robbery aiding and abetting,robbery with or without a weapon
and assault,assault and/or battery
and assault on federal officer with deadly or dangerous weapon,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
and assault with dangerous weapon in aid of racketeering and attempted murder in aid of racketeering,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
and assault with dangerous weapon in aid of racketeering of victim,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
and assault with dangerous weapon on federal employee,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
and assault with dangerous weapon within special maritime and territorial jurisdiction and aiding and abetting,"assault with intent to maim; injure, murder or disable; unlawful wounding; malicious wounding; assault on a law officer"
and attempt to possess with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and attempted distribution of child pornography,sex offense with a child
and attempted murder in aid of racketeering of victim,murder; maiming; manslaughter; attempted murder; attempted maiming; attempted manslaughter
and attempted possession with intent to distribute controlled substance,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and attempted robbery affecting interstate commerce,robbery with or without a weapon
and attempted transportation of aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
and attempted transportation of certain aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
and attempted transportation of illegal aliens and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
and attempted transportation of illegal aliens and aiding and abetting felony,kidnapping; unlawfully transport a person; false imprisonment
and attempted transportation of illegal aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
and bank fraud and aiding and abetting,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and bank larceny and aiding and abetting,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
and bankruptcy fraud causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and bringing in an illegal alien,kidnapping; unlawfully transport a person; false imprisonment
and bringing in an illegal alien without presentation and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
and bringing in illegal aliens and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
and bringing in illegal aliens for financial gain and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
and bringing in illegal aliens without presentation aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
and bringing in illegal aliens without presentation and aiding and abetting,kidnapping; unlawfully transport a person; false imprisonment
and bulk cash smuggling,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and by force violence and intimidation take from the person and presence of an employee of bank of america approximately belonging to see docket,theft; larceny; petit theft; grand larceny; stealing; conversion (and attempts at all preceding offenses)
and california vehicle code driving motor vehicle while privilege suspended for driving under the influence,driving while drivers license is suspended; driving while drivers license is revoked
and carrying loaded firearm,possession of firearm
and carrying semiautomatic assault weapon during and in relation to crime of violence,possession of firearm
and carrying weapon concealed within vehicle,weapon crime
and causing failure to file forms aiding and abetting criminal forfeiture,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and causing the introduction of misbranded drug aiding and abetting,distribution/delivery of controlled/dangerous substance; attempted distribution/delivery of a controlled/dangerous substance; possession with the intent of distributing a controlled/dangerous substance
and cfr and relocated to cfr and willful failure to file reports of foreig see docket,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
and cfr and securities fraud aiding and abetting and causing an act to be done,fraud; conspiracy to commit fraud; attempted criminal fraud; unemployment fraud; insurance fraud; mail fraud
